NU_ANO_CENSO|ID_ALUNO|ID_MATRICULA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|NU_DURACAO_TURMA|NU_DUR_ATIV_COMP_MESMA_REDE|NU_DUR_ATIV_COMP_OUTRAS_REDES|NU_DUR_AEE_MESMA_REDE|NU_DUR_AEE_OUTRAS_REDES|NU_DIAS_ATIVIDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|TP_OUTRO_LOCAL_AULA|IN_TRANSPORTE_PUBLICO|TP_RESPONSAVEL_TRANSPORTE|IN_TRANSP_VANS_KOMBI|IN_TRANSP_MICRO_ONIBUS|IN_TRANSP_ONIBUS|IN_TRANSP_BICICLETA|IN_TRANSP_TR_ANIMAL|IN_TRANSP_OUTRO_VEICULO|IN_TRANSP_EMBAR_ATE5|IN_TRANSP_EMBAR_5A15|IN_TRANSP_EMBAR_15A35|IN_TRANSP_EMBAR_35|IN_TRANSP_TREM_METRO|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|IN_AUTISMO|IN_SINDROME_ASPERGER|IN_SINDROME_RETT|IN_TRANSTORNO_DI|IN_SUPERDOTACAO|IN_RECURSO_LEDOR|IN_RECURSO_TRANSCRICAO|IN_RECURSO_INTERPRETE|IN_RECURSO_LIBRAS|IN_RECURSO_LABIAL|IN_RECURSO_BRAILLE|IN_RECURSO_AMPLIADA_16|IN_RECURSO_AMPLIADA_20|IN_RECURSO_AMPLIADA_24|IN_RECURSO_NENHUM|TP_INGRESSO_FEDERAIS|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|ID_TURMA|CO_CURSO_EDUC_PROFISSIONAL|TP_UNIFICADA|TP_TIPO_TURMA|CO_ENTIDADE|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2018|31E215700DB30CD72C7DE5FC56DCAC86|286768661|1|12|1999|18|19|300|0|0|0|0|5|2|0|1|76|31|3170206|52|5220405|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|26|12283624||0|0|52068412|5|5205|52018|52|5220405|522040505|3|1|||||||||1|0|0
2018|88982FCF6EC39DC9B98F0DE1E458D7CE|286079853|3|8|2007|10|11|255|0|0|0|0|5|1|3|1|76|52|5208707|52|5213087|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|18|12462045||0|0|52008240|5|5202|52004|52|5213087|521308705|3|1|||||||||1|0|0
2018|48B87AEE7E553B18A6BCE071BA5E0561|286084636|10|1|1999|19|19|240|0|0|0|0|5|1|3|1|76|52|5213087|52|5213087|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|27|12462190||0|0|52008312|5|5202|52004|52|5213087|521308710|2|2|||||||||1|0|0
2018|DFBF068296BDCD90B500195FA8801B38|286089979|23|6|2008|9|10|600|0|0|0|0|5|2|0|1|76|52|5212808|52|5212808|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|18|12462339||0|0|52007057|5|5202|52004|52|5212808|521280805|2|1|||||||||1|0|0
2018|2BC31750487A4502D70460A4EE6D117A|286094725|8|11|2005|12|13|265|0|0|0|0|5|1|0|1|76|52|5204904|52|5221080|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|20|12461406||0|0|52014398|5|5202|52005|52|5221080|522108005|2|1|||||||||1|0|0
2018|4E6EDE431439724633E9F0261DBF11C2|104673510|15|4|2008|10|10|260|0|0|0|0|5|1|3|1|76|52|5208707|52|5208707|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|17|8884594||0|0|52035905|5|5203|52010|52|5208707|520870705|3|1|||||||||1|0|0
2018|431B3B72516E59B03ECF99FCFD1DDE1E|286110925|5|6|2012|5|6|480|0|0|0|0|5|1|0|1|76|52|5214606|52|5205521|2|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|14|12462951||0|0|52013413|5|5202|52005|52|5205521|520552105|3|1|||||||||1|0|0
2018|994E7D7522605556657A897925ECE728|286111766|24|5|2003|15|15|300|0|0|0|0|5|1|3|1|76|52|5220009|52|5220009|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|21|12463016||0|0|52014118|5|5202|52005|52|5220009|522000905|2|1|||||||||1|0|0
2018|D32CAC419D6775E144960FBB71A2683A|286121758|24|9|2003|14|15|270|0|0|0|0|5|2|0|1|76|52|5213087|52|5208608|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|41|12461683||0|0|52015831|5|5203|52006|52|5208608|520860805|4|1|4|1|2|0|0|0|0|1|1|0|0
2018|E517A56D196EA3660B892B0DF44F6618|286125928|10|6|2007|10|11|270|0|0|0|0|5|1|1|1|76|52|5208608|52|5208608|1|3|0|||||||||||||0|||||||||||||||||||||||||1|0|1|0|0|18|12463381||0|0|52016587|5|5203|52006|52|5208608|520860805|3|1|||||||||1|0|0
